no,caseid,season,vq1,vq1a,vq1b,vq1c,vq1d,vq1e,vq2,vq17,vq17a_1,vq17a_2,vq17a_3,vq17a_4,vq17a_5,vq17a_6,vq17a_7,vq17a_8,vq17a_9,vq17a_10,vq17a_11,vq17a_12,vq17a_13,vq17a1_1,vq17a1_2,vq17a1_3,vq17a2_1,vq17a2_2,vq17a2_3,vq17a2_4,vq17a3_1,vq17a3_2,vq17a3_3,vq17a3_4,vq17a4_1,vq17a4_2,vq17a4_3,vq17a4_4,vq17a5_1,vq17a5_2,vq17a5_3,vq17a6_1,vq17a6_2,vq17a6_3,vq17a6_4,vq17a6_5,vq17a7_1,vq17a7_2,vq17a7_3,vq17a8_1,vq17a8_2,vq17a8_3,vq17a8_4,vq17a8_5,vq17a9_1,vq17a9_2,vq17a9_3,vq17a10_1,vq17a10_2,vq17a11_1,vq17a11_2,vq17a11_3,vq17a11_4,vq17a12_1,vq17a12_2,vq17a13_1,vq17a13_2,vq18,vq19,vq20,vb1,vb2,vb3,vb4,vb5,vb6,vb7,q32,q33,weight
5401,76101150,1,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,10,1,10,4,4,3,2, , ,0.614550116
5400,76101151,1,5,5,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,10,1,13,2,2,7,2, , ,0.609468048
5383,76101297,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,13,2,2,18,1, , ,0.798413019
5365,76101552,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,2,2,1,2, , ,0.77591733
5357,76101642,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,9,1,11,4,1,4,2, , ,0.571949123
5355,76101653,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,9,1,11,2,5,1,2, , ,0.571003587
5352,76101669,1,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,11,1,10,2,2,4,2, , ,0.777202186
5345,76101753,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,13,2,4,4,1, , ,0.804688579
5337,76101807,1,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,10,1,11,4,2,7,2, , ,0.609468048
5332,76101859,1,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,11,1,13,2,2,3,1, , ,0.805255216
5320,76101984,1,0,0,0,0,0,0,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,11,1,11,4,2,18,2, , ,0.771140985
5315,76101998,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,2,2,2,2, , ,0.7759318
5314,76102003,1,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,10,1,13,2,4,2,1, , ,0.655473456
5308,76102032,1,0,0,0,0,0,0,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,10,1,11,2,1,1,2, , ,0.613102425
5300,76102102,1,3,3,0,0,0,0, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,11,1,11,4,2,3,2, , ,0.777749468
5290,76102203,1,1,1,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,10,1,10,2,6,4,1, , ,0.656546623
5287,76102224,1,0,0,0,0,0,0,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,13,4,1,1,2, , ,0.77591733
5279,76102284,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,10,1,10,2,3,1,2, , ,0.613102425
5278,76102288,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,4,2,18,2, , ,0.771140985
5274,76102315,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,10,1,11,4,2,1,2, , ,0.613102425
5270,76102339,1,1,1,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,10,1,13,2,2,1,1, , ,0.655461232
5267,76102396,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,13,4,4,3,1, , ,0.805255216
5256,76102490,1,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,2,1,18,2, , ,0.771140985
5253,76102510,1,12,12,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,11,1,11,4,2,2,2, , ,0.7759318
5242,76102602,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,0, ,10,1,13,2,4,3,1, , ,0.657008942
5233,76102668,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,4,2,2,2, , ,0.7759318
5230,76102706,1,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,11,1,11,2,2,3,2, , ,0.777749468
5229,76102707,1,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,10,1,13,4,4,1,2, , ,0.613102425
5226,76102743,1,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,11,1,13,2,2,1,1, , ,0.803358283
5194,76102995,1,2,1,0,0,1,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,11,2,2,3,2, , ,0.777749468
5175,76103117,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,9,1,11,2,4,3,2, , ,0.572351871
5162,76103241,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,4,2,1,2, , ,0.77591733
5153,76103277,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,4,2,7,2, , ,0.771317812
5127,76103470,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,10,1,11,2,3,2,2, , ,0.613113859
5113,76103592,1,2,0,2,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,9,1,11,4,4,7,2, , ,0.567618765
5108,76103641,1,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,11,2,2,4,2, , ,0.777202186
5107,76103651,1,4,2,0,2,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,13,2,2,2,1, , ,0.803373265
5102,76103697,1,10,7,3,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,10,1,13,2,3,4,2, , ,0.614117673
5089,76103778,1,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,10,1,9,3,4,1,2, , ,0.613102425
5088,76103786,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,7,2,2,4,1, , ,0.804688579
5081,76103810,1,2,1,1,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,11,1,11,2,2,3,2, , ,0.777749468
5064,76103964,1,0,0,0,0,0,0,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,10,1,11,4,2,2,2, , ,0.613113859
5058,76103992,1,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,2,2,3,2, , ,0.777749468
5054,76104030,1,0,0,0,0,0,0,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,0, ,10,1,13,2,1,1,1, , ,0.655461232
5050,76104094,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,9,1,11,2,2,2,2, , ,0.571014236
5030,76104263,1,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1,2,9,1,10,2,5,4,2, , ,0.571949123
5012,76104410,1,2,2,0,0,0,0, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,13,2,1,3,1, , ,0.805255216
5008,76104418,1,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,11,1,13,2,4,4,1, , ,0.804688579
4995,76104505,1,2,1,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,11,1,13,2,5,1,2, , ,0.77591733
4974,76104702,1,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,11,1,11,4,3,1,2, , ,0.77591733
4968,76104790,1,0,0,0,0,0,0,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,9,1,14,2,3,7,1, , ,0.693421749
4965,76104798,1,11,6,2,3,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1,2,11,1,13,2,2,7,1, , ,0.798596098
4961,76104824,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,8,1,11,2,1,18,2, , ,0.735702894
4946,76104909,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,4,3,1,2, , ,0.77591733
4932,76105025,1,5,5,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,9,1,11,2,2,4,2, , ,0.571949123
4928,76105052,1,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,11,1,11,2,2,4,2, , ,0.777202186
4922,76105119,1,2,1,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,8,1,8,2,8,4,1, , ,0.949185375
4902,76105379,1,3,0,3,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1,2,11,1,13,4,5,4,2, , ,0.777202186
4893,76105526,1,3,1,1,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,11,1,13,2,2,4,1, , ,0.804688579
4884,76105578,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,0, ,8,1,6,2,5,2,1, , ,0.947633871
4874,76105639,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,13,3,2,1,1, , ,0.803358283
4872,76105653,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0, ,11,1,13,2,5,2,2, , ,0.7759318
4869,76105669,1,2,0,1,0,0,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,1,1,14,1,1,3,1, , ,3.313678589
4822,76106084,1,1,0,0,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,9,1,6,2,5,18,1, , ,0.693262781
4821,76106098,1,3,3,0,0,0,0, ,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,10,1,6,2,6,4,1, , ,0.656546623
4811,76106188,1,3,0,2,1,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,11,2,3,3,2, , ,0.777749468
4802,76106245,1,1,0,1,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,13,1,2,2,1, , ,0.803373265
4795,76106316,1,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,10,1,11,2,2,4,2, , ,0.614117673
4774,76106535,1,8,7,1,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,0, ,8,1,11,2,1,4,2, , ,0.74148555
4765,76106579,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,10,1,11,2,1,3,2, , ,0.614550116
4725,76106998,1,0,0,0,0,0,0,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,4,3,3,2, , ,0.777749468
4723,76107004,1,2,0,2,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,13,2,3,2,2, , ,0.7759318
4721,76107023,1,5,1,3,1,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,10,1,6,2,2,2,2, , ,0.613113859
4716,76107045,1,3,3,0,0,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,13,4,5,1,2, , ,0.77591733
4705,76107129,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,10,1,11,2,3,1,2, , ,0.613102425
4693,76107231,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,2,1,1,2, , ,0.77591733
4685,76107304,1,1,0,0,1,0,0, ,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,8,1,10,2,5,2,2, , ,0.740273545
4678,76107336,1,0,0,0,0,0,0,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,9,1,7,2,3,7,1, , ,0.693421749
4676,76107371,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,10,1,11,2,3,7,2, , ,0.609468048
4675,76107382,1,0,0,0,0,0,0,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,0, ,9,1,13,1,2,1,2, , ,0.571003587
4671,76107407,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,4,2,4,2, , ,0.777202186
4663,76107441,1,0,0,0,0,0,0,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,2,2,4,2, , ,0.777202186
4655,76107528,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,11,1,11,2,2,2,2, , ,0.7759318
4653,76107541,1,4,4,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,11,1,13,2,5,1,1, , ,0.803358283
4650,76107578,1,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,10,1,13,2,3,1,1, , ,0.655461232
4649,76107581,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,13,2,5,3,1, , ,0.805255216
4647,76107597,1,0,0,0,0,0,0,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,0, ,11,1,13,2,3,4,1, , ,0.804688579
4640,76107655,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,2,2,1,2, , ,0.77591733
4632,76107777,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,13,2,2,1,2, , ,0.77591733
4630,76107794,1,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,11,3,2,3,2, , ,0.777749468
4618,76107895,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,6,1,12,1,1,2,1, , ,1.404580949
4615,76107916,1,1,1,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0, ,11,1,11,2,2,2,2, , ,0.7759318
4608,76107986,1,1,0,1,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,11,4,2,3,2, , ,0.777749468
4591,76108157,1,0,0,0,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,2,2,1,2, , ,0.77591733
4581,76108290,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,8,1,11,3,5,2,2, , ,0.740273545
4569,76108437,1,3,3,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,1,2,10,1,10,4,6,4,2, , ,0.614117673
4565,76108450,1,3,3,0,0,0,0, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,9,1,11,2,1,1,2, , ,0.571003587
4563,76108467,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,10,1,13,4,1,2,1, , ,0.655473456
4559,76108499,1,2,2,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,9,1,11,2,1,2,2, , ,0.571014236
4549,76108608,1,5,0,3,2,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,11,2,2,3,2, , ,0.777749468
4526,76108844,1,0,0,0,0,0,0,8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,0, ,11,1,13,4,5,4,1, , ,0.804688579
4520,76108874,1,1,1,0,0,0,0, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,9,1,11,2,1,1,2, , ,0.571003587
4513,76108989,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,13,2,2,7,1, , ,0.798596098
4503,76109019,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,0, ,11,1,10,2,2,2,2, , ,0.7759318
4499,76109051,1,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,0, ,11,1,11,2,2,4,2, , ,0.777202186
